timestamp_utc,p,price_live,call_sell_strike,call_buy_strike,put_sell_strike,put_buy_strike,call_sell_price,call_buy_price,call_net_cost,put_sell_price,put_buy_price,put_net_cost,yes_price,no_price
2026-03-05T07:00:00+00:00,65000.0,64911.391133,65000,64500,65000,65500,0.4390606,0.30293228,-0.13612832,0.44007523,0.29129947,-0.14877576,0.5780938,0.4219062
2026-03-05T07:01:00+00:00,65000.0,65164.721462,65000,64500,65000,65500,0.41530968,0.32073242,-0.09457726,0.26041405,0.2032438,-0.05717025,0.62046373,0.37953627
2026-03-05T07:02:00+00:00,65000.0,64790.196822,65000,64500,65000,65500,0.27948385,0.22874029,-0.05074355,0.13551448,0.01,-0.12551448,0.38665075,0.61334925
2026-03-05T07:03:00+00:00,65000.0,65057.846974,65000,64500,65000,65500,0.2318364,0.19572517,-0.03611124,0.17069655,0.11581451,-0.05488204,0.65365043,0.34634957
2026-03-05T07:04:00+00:00,65000.0,65068.071355,65000,64500,65000,65500,0.29142446,0.20010638,-0.09131808,0.1059477,0.03646126,-0.06948644,0.50020402,0.49979598
2026-03-05T07:05:00+00:00,65000.0,64982.296765,65000,64500,65000,65500,0.05259252,0.01,-0.04259252,0.42152198,0.35103067,-0.07049131,0.33782552,0.66217448
2026-03-05T07:06:00+00:00,65000.0,64846.64089,65000,64500,65000,65500,0.20681498,0.14490795,-0.06190703,0.20875852,0.16169893,-0.0470596,0.39279291,0.60720709
2026-03-05T07:07:00+00:00,65000.0,65195.861051,65000,64500,65000,65500,0.17644391,0.1337737,-0.04267021,0.15288515,0.05018078,-0.10270437,0.32102576,0.67897424
2026-03-05T07:08:00+00:00,65000.0,65228.738189,65000,64500,65000,65500,0.11369796,0.01503054,-0.09866742,0.36329374,0.27408459,-0.08920915,0.41638262,0.58361738
2026-03-05T07:09:00+00:00,65000.0,65080.928665,65000,64500,65000,65500,0.42002957,0.31082432,-0.10920525,0.28171319,0.15807828,-0.12363491,0.50776388,0.49223612
2026-03-05T07:10:00+00:00,65000.0,64789.92489,65000,64500,65000,65500,0.29548177,0.27935905,-0.01612272,0.05612985,0.01,-0.04612985,0.45333465,0.54666535
2026-03-05T07:11:00+00:00,65000.0,65212.765619,65000,64500,65000,65500,0.3535008,0.22419661,-0.12930419,0.34500383,0.29129235,-0.05371148,0.66274405,0.33725595
2026-03-05T07:12:00+00:00,65000.0,64785.587634,65000,64500,65000,65500,0.207933,0.13953531,-0.06839769,0.42766557,0.33489338,-0.09277219,0.34551762,0.65448238
2026-03-05T07:13:00+00:00,65000.0,65026.209239,65000,64500,65000,65500,0.33650279,0.24834514,-0.08815765,0.42458678,0.36287177,-0.06171501,0.43950617,0.56049383
2026-03-05T07:14:00+00:00,65000.0,64786.697794,65000,64500,65000,65500,0.16669057,0.15018357,-0.01650699,0.3551882,0.24576883,-0.10941937,0.56517357,0.43482643
2026-03-05T07:15:00+00:00,65000.0,65140.867445,65000,64500,65000,65500,0.15166661,0.0922189,-0.05944772,0.19308656,0.1652512,-0.02783536,0.37206764,0.62793236
2026-03-05T07:16:00+00:00,65000.0,64804.165662,65000,64500,65000,65500,0.34810473,0.29104098,-0.05706376,0.15053624,0.05957583,-0.0909604,0.68994364,0.31005636
2026-03-05T07:17:00+00:00,65000.0,64889.035514,65000,64500,65000,65500,0.21060196,0.14546337,-0.0651386,0.27705125,0.17730063,-0.09975063,0.36596601,0.63403399
2026-03-05T07:18:00+00:00,65000.0,64853.835424,65000,64500,65000,65500,0.43049438,0.41071114,-0.01978324,0.35766047,0.2892882,-0.06837227,0.33461125,0.66538875
2026-03-05T07:19:00+00:00,65000.0,65213.330986,65000,64500,65000,65500,0.26962066,0.1440469,-0.12557376,0.39506486,0.3778954,-0.01716945,0.45739278,0.54260722
2026-03-05T07:20:00+00:00,65000.0,65102.764375,65000,64500,65000,65500,0.06141488,0.0494778,-0.01193709,0.07404771,0.02682888,-0.04721883,0.54370537,0.45629463
2026-03-05T07:21:00+00:00,65000.0,65196.00675,65000,64500,65000,65500,0.39293761,0.36809464,-0.02484296,0.35744422,0.27683672,-0.0806075,0.56396009,0.43603991
2026-03-05T07:22:00+00:00,65000.0,65228.106853,65000,64500,65000,65500,0.06520198,0.01,-0.05520198,0.05425325,0.01,-0.04425325,0.34857994,0.65142006
2026-03-05T07:23:00+00:00,65000.0,64992.73393,65000,64500,65000,65500,0.12615048,0.0756447,-0.05050578,0.17500024,0.1328546,-0.04214563,0.43465046,0.56534954
2026-03-05T07:24:00+00:00,65000.0,65107.433155,65000,64500,65000,65500,0.23961856,0.1247385,-0.11488006,0.22828058,0.19118932,-0.03709125,0.53466588,0.46533412
2026-03-05T07:25:00+00:00,65000.0,64834.621948,65000,64500,65000,65500,0.41193018,0.3413582,-0.07057198,0.20059579,0.05084397,-0.14975182,0.39334527,0.60665473
2026-03-05T07:26:00+00:00,65000.0,65158.154848,65000,64500,65000,65500,0.07609794,0.01,-0.06609794,0.29224422,0.27018908,-0.02205514,0.35954778,0.64045222
2026-03-05T07:27:00+00:00,65000.0,64941.447562,65000,64500,65000,65500,0.3649038,0.26669432,-0.09820948,0.2050586,0.18693472,-0.01812388,0.38802239,0.61197761
2026-03-05T07:28:00+00:00,65000.0,65192.188928,65000,64500,65000,65500,0.32496548,0.28799647,-0.03696901,0.16070454,0.09272914,-0.0679754,0.39917323,0.60082677
2026-03-05T07:29:00+00:00,65000.0,64789.677611,65000,64500,65000,65500,0.14023583,0.01550815,-0.12472768,0.44365866,0.31951938,-0.12413928,0.38557323,0.61442677
2026-03-05T07:30:00+00:00,65000.0,65049.047658,65000,64500,65000,65500,0.27508806,0.20988634,-0.06520172,0.34309328,0.28684109,-0.05625219,0.56839452,0.43160548
2026-03-05T07:31:00+00:00,65000.0,64974.221333,65000,64500,65000,65500,0.13441646,0.04723183,-0.08718463,0.20619775,0.07998903,-0.12620872,0.58691587,0.41308413
2026-03-05T07:32:00+00:00,65000.0,65055.049356,65000,64500,65000,65500,0.22631542,0.09129083,-0.13502459,0.23085125,0.08775037,-0.14310089,0.37624116,0.62375884
2026-03-05T07:33:00+00:00,65000.0,65013.069072,65000,64500,65000,65500,0.1287671,0.0173596,-0.1114075,0.35469072,0.21413479,-0.14055592,0.53922363,0.46077637
2026-03-05T07:34:00+00:00,65000.0,64767.917432,65000,64500,65000,65500,0.08559915,0.01,-0.07559915,0.24779678,0.21346549,-0.03433129,0.60350832,0.39649168
2026-03-05T07:35:00+00:00,65000.0,65098.749271,65000,64500,65000,65500,0.31969389,0.20008666,-0.11960722,0.23333119,0.20389622,-0.02943497,0.67765083,0.32234917
2026-03-05T07:36:00+00:00,65000.0,65029.870946,65000,64500,65000,65500,0.34289545,0.19855751,-0.14433794,0.09446811,0.01390531,-0.0805628,0.64338715,0.35661285
2026-03-05T07:37:00+00:00,65000.0,64912.320257,65000,64500,65000,65500,0.05902992,0.01,-0.04902992,0.25693334,0.20645128,-0.05048206,0.63392067,0.36607933
2026-03-05T07:38:00+00:00,65000.0,64760.034031,65000,64500,65000,65500,0.3162229,0.30457189,-0.011651,0.15810456,0.12582762,-0.03227694,0.61441209,0.38558791
2026-03-05T07:39:00+00:00,65000.0,65239.414163,65000,64500,65000,65500,0.31059401,0.20864377,-0.10195023,0.40926982,0.38528156,-0.02398827,0.54571171,0.45428829
2026-03-05T07:40:00+00:00,65000.0,65009.59368,65000,64500,65000,65500,0.23434046,0.17721975,-0.05712072,0.3812263,0.31598945,-0.06523685,0.4651635,0.5348365
2026-03-05T07:41:00+00:00,65000.0,65225.444288,65000,64500,65000,65500,0.22637985,0.21545318,-0.01092667,0.09641353,0.01,-0.08641353,0.58305488,0.41694512
2026-03-05T07:42:00+00:00,65000.0,65021.605352,65000,64500,65000,65500,0.36660078,0.23825794,-0.12834284,0.06937216,0.01,-0.05937216,0.56004894,0.43995106
2026-03-05T07:43:00+00:00,65000.0,64954.847423,65000,64500,65000,65500,0.19496975,0.12304159,-0.07192817,0.17721326,0.16284303,-0.01437023,0.46805837,0.53194163
2026-03-05T07:44:00+00:00,65000.0,64846.854749,65000,64500,65000,65500,0.26841477,0.23788165,-0.03053312,0.42804315,0.38975159,-0.03829155,0.58400599,0.41599401
2026-03-05T07:45:00+00:00,65000.0,64865.922621,65000,64500,65000,65500,0.16557663,0.14832355,-0.01725308,0.33401883,0.26790666,-0.06611217,0.39359785,0.60640215
2026-03-05T07:46:00+00:00,65000.0,65176.262155,65000,64500,65000,65500,0.36583891,0.26356343,-0.10227548,0.25727359,0.14772817,-0.10954542,0.49518931,0.50481069
2026-03-05T07:47:00+00:00,65000.0,64756.475156,65000,64500,65000,65500,0.27977527,0.26327224,-0.01650303,0.07834443,0.05563601,-0.02270842,0.5914889,0.4085111
2026-03-05T07:48:00+00:00,65000.0,64834.903286,65000,64500,65000,65500,0.07789116,0.02907895,-0.04881222,0.4215993,0.3028508,-0.1187485,0.33433563,0.66566437
2026-03-05T07:49:00+00:00,65000.0,65114.648022,65000,64500,65000,65500,0.34424836,0.22044815,-0.12380021,0.10891987,0.0866006,-0.02231927,0.31443521,0.68556479
2026-03-05T07:50:00+00:00,65000.0,64764.423665,65000,64500,65000,65500,0.37480207,0.25772407,-0.117078,0.39088393,0.26737889,-0.12350504,0.44256867,0.55743133
2026-03-05T07:51:00+00:00,65000.0,64875.737576,65000,64500,65000,65500,0.33778612,0.26653391,-0.07125221,0.11943995,0.10258734,-0.01685261,0.42021167,0.57978833
2026-03-05T07:52:00+00:00,65000.0,64853.861904,65000,64500,65000,65500,0.07587176,0.01,-0.06587176,0.28493138,0.14628593,-0.13864545,0.68831868,0.31168132
2026-03-05T07:53:00+00:00,65000.0,65101.174877,65000,64500,65000,65500,0.13506404,0.09306405,-0.042,0.14607034,0.11933208,-0.02673826,0.55438408,0.44561592
2026-03-05T07:54:00+00:00,65000.0,65064.137254,65000,64500,65000,65500,0.30535129,0.17502516,-0.13032613,0.15165698,0.08900649,-0.06265049,0.3410407,0.6589593
2026-03-05T07:55:00+00:00,65000.0,65066.821173,65000,64500,65000,65500,0.15847718,0.08646301,-0.07201417,0.28535896,0.16203877,-0.12332018,0.60194936,0.39805064
2026-03-05T07:56:00+00:00,65000.0,65071.971608,65000,64500,65000,65500,0.11246371,0.01,-0.10246371,0.25162096,0.13874664,-0.11287433,0.48324775,0.51675225
2026-03-05T07:57:00+00:00,65000.0,64889.041115,65000,64500,65000,65500,0.17710526,0.06815347,-0.10895178,0.14230326,0.12493235,-0.01737091,0.38847492,0.61152508
2026-03-05T07:58:00+00:00,65000.0,65083.859427,65000,64500,65000,65500,0.20025136,0.15954663,-0.04070473,0.16925881,0.14234559,-0.02691322,0.33275948,0.66724052
2026-03-05T07:59:00+00:00,65000.0,65073.8379,65000,64500,65000,65500,0.18660793,0.06367498,-0.12293295,0.08932173,0.01802548,-0.07129625,0.31049271,0.68950729
2026-03-05T08:00:00+00:00,65000.0,64790.062292,65000,64500,65000,65500,0.05480275,0.01,-0.04480275,0.13973322,0.05791836,-0.08181486,0.34466366,0.65533634
